Дата,Всего (накоп.),За сутки,Летальных всего,Летальных за сутки
2020-04-15,27,0,3,0
2020-04-16,32,5,5,0
2020-04-17,42,5,5,0
2020-04-18,44,2,5,0
2020-04-19,52,8,6,0
2020-04-20,58,6,6,0
2020-04-21,62,4,6,0
2020-04-22,66,4,6,0
2020-04-23,72,6,6,0
2020-04-24,93,12,8,2
2020-04-25,110,17,8,0
2020-04-26,124,14,8,0
2020-04-27,128,4,8,0
2020-04-28,142,14,9,1
2020-04-29,149,7,10,1
2020-04-30,153,4,11,1
2020-05-01,177,24,11,0
2020-05-02,195,18,11,0
2020-05-03,196,1,11,0
2020-05-04,214,18,11,0
2020-05-05,226,12,12,1
2020-05-06,243,17,12,0
2020-05-07,270,27,13,1
2020-05-08,277,7,14,1
2020-05-09,293,16,15,1
2020-05-10,308,15,18,3
2020-05-11,328,20,19,1
2020-05-12,339,11,19,0
2020-05-13,351,12,19,0
2020-05-14,367,16,19,0
2020-05-15,386,19,19,0
2020-05-16,405,19,19,0
2020-05-17,424,19,19,0
2020-05-18,451,27,9,0
2020-05-19,461,10,9,0
2020-05-20,494,33,9,0
2020-05-21,513,19,9,0
2020-05-22,543,30,10,1
2020-05-23,566,23,10,1
2020-05-24,592,26,10,0
2020-05-25,608,16,10,0
2020-05-26,629,21,10,0
2020-05-27,671,42,10,0
2020-05-28,723,52,10,0
2020-05-29,765,42,10,0
2020-05-30,824,59,10,0
2020-05-31,887,63,10,0
2020-06-01,910,23,10,0
2020-06-02,954,44,10,0
2020-06-03,1066,112,10,0
2020-06-04,1131,65,10,0
2020-06-05,1163,32,11,1
2020-06-06,1232,69,11,0
2020-06-07,1269,37,11,0
2020-06-08,1306,37,12,1
2020-06-09,1366,60,12,0
2020-06-10,1425,59,12,0
2020-06-11,1535,110,12,0
2020-06-12,1635,100,12,0
2020-06-13,1740,105,12,0
2020-06-14,1838,98,19,7
2020-06-15,1901,63,19,0
2020-06-16,1996,95,19,0
2020-06-17,2047,51,19,0
2020-06-18,2088,41,19,0
2020-06-19,2183,95,19,0
2020-06-20,2278,95,19,0
2020-06-21,2353,75,19,0
2020-06-22,2414,61,19,0
2020-06-23,2458,44,19,0
2020-06-24,2527,69,19,0
2020-06-25,2564,37,19,0
2020-06-26,2609,45,19,0
2020-06-27,2667,58,19,0
2020-06-28,2722,55,21,2
2020-06-29,2757,35,21,0
2020-06-30,2830,73,21,0
2020-07-01,2875,45,21,0
2020-07-02,2932,57,23,2
2020-07-03,2967,35,23,0
2020-07-04,3018,51,25,2
2020-07-05,3044,26,26,1
2020-07-06,3082,38,26,0
2020-07-07,3109,27,28,2
2020-07-08,3137,28,28,0
2020-07-09,3172,35,28,0
2020-07-10,3198,26,28,0
2020-07-11,3214,16,28,0
2020-07-12,3245,31,28,0
2020-07-13,3257,12,36,8
2020-07-14,3291,34,36,0
2020-07-15,3327,36,38,2
2020-07-16,3354,27,39,1
2020-07-17,3372,18,41,2
2020-07-18,3402,30,42,1
2020-07-19,3421,19,42,0
2020-07-20,3437,16,45,3
2020-07-21,3454,17,45,0
2020-07-22,3486,32,45,0
2020-07-23,3534,48,45,0
2020-07-24,3554,20,48,3
2020-07-25,3582,28,49,1
2020-07-26,3618,36,49,0
2020-07-27,3633,15,50,1
2020-07-28,3646,13,52,2
2020-07-29,3686,40,52,0
2020-07-30,3728,42,52,0
2020-07-31,3761,33,53,1
2020-08-01,3797,36,53,0
2020-08-02,3834,37,53,0
2020-08-03,3835,1,53,0
2020-08-04,3839,4,53,0
2020-08-05,3869,30,53,0
2020-08-06,3889,20,54,1
2020-08-07,3908,19,54,0
2020-08-08,3928,20,54,0
2020-08-09,3961,33,54,0
2020-08-10,3982,21,54,0
2020-08-11,4001,19,57,3
2020-08-12,4038,37,57,0
2020-08-13,4070,32,57,0
2020-08-14,4109,39,57,0
2020-08-15,4143,34,57,0
2020-08-16,4190,47,57,0
2020-08-17,4215,25,57,0
2020-08-18,4242,27,59,2
2020-08-19,4279,37,59,0
2020-08-20,4314,35,59,0
2020-08-21,4350,36,60,1
2020-08-22,4384,34,60,0
2020-08-23,4434,50,60,0
2020-08-24,4458,24,60,0
2020-08-25,4499,41,60,0
2020-08-26,4527,28,60,0
2020-08-27,4557,30,60,0
2020-08-28,4581,24,60,0
2020-08-29,4603,22,60,0
2020-08-30,4635,32,60,0
2020-08-31,4638,3,61,1
2020-09-01,4662,24,61,0
