wave,strain,T_days,peak_obs,peak_int,peak_frac,R0_prior,R0_int,R0_frac,α_k,N_eff_int,N_eff_frac,N_int_pct,N_frac_pct,loss_int,loss_frac,improve_pct
1,Wuhan-1 (D614G / ancestral),112,73.56,54.59,54.59,2.929,1.615,1.615,1.0,6150,6150,3.1,3.1,0.7227,0.7227,-0.0
2,Wuhan-1 (D614G / ancestral),24,33.28,30.35,30.35,2.929,1.077,1.077,1.0,199994,199985,100.0,100.0,0.4394,0.4394,-0.0
3,Alpha (UK / British),269,390.06,170.46,151.79,3.864,1.202,6.14,0.7386,105375,189073,52.7,94.5,1.285,1.256,2.26
4,Delta (Indian),93,135.67,120.76,120.76,4.986,1.251,1.251,1.0,45753,45753,22.9,22.9,0.7947,0.7947,-0.0
5,Delta (Indian),128,290.11,229.47,229.47,5.4,1.172,1.172,1.0,140602,140602,70.3,70.3,0.8581,0.8581,0.0
6,Omicron BA.2 (Stealth Omicron),176,933.61,346.69,346.69,10.773,1.206,1.206,1.0,96831,96831,48.4,48.4,1.032,1.032,-0.0
7,Omicron BA.4/BA.5 (Ninja),191,279.44,146.57,155.21,14.949,1.267,1.564,0.9629,31439,31549,15.7,15.8,0.6304,0.6187,1.85
8,Omicron XBB.1.16 (Arcturus),227,53.72,48.49,51.01,17.284,1.23,1.5,0.9643,12268,12268,6.1,6.1,0.191,0.1819,4.79
9,Omicron JN.1 (Pirola descendant),316,83.83,27.41,43.91,19.578,1.193,4.75,0.8002,10097,8470,5.0,4.2,0.4739,0.2761,41.73
10,Omicron KP.3.1.1/XEC/LP.8.1,542,12.56,8.42,9.09,20.005,1.129,1.901,0.9057,5465,6017,2.7,3.0,6.599,6.591,0.13
