wave,n,α_k,R2_main7,R2_frac,RMSE_main7,RMSE_frac,MAPE_main7,MAPE_frac,ΔAIC,ΔBIC,LRT_stat,LRT_pval,sig
1,112,1.0,0.8424273922069478,0.8502302225768278,8.648072577091257,8.431232325370209,17.11888906744828,16.52002846610216,-1.9999999854648536,-4.718498856759936,1.4535132208948198e-8,0.9999038040402118,ns
2,24,1.0,0.5519465193550694,0.5888287439966924,1.9103162087420147,1.8300025975841678,5.668756687812262,5.306134917404917,-2.0037334142963346,-3.1817872446442834,0.0,1.0,ns
3,269,0.7386,0.14516916538707947,0.26052031216680804,90.29065618814083,83.9780612781751,51.30143121223839,48.13990790590681,31.003195517163135,27.408484137561288,33.00319551716314,9.228206421241225e-9,***
4,93,1.0,0.7476529792198343,0.7494462540297275,17.899314069294203,17.835600976243555,18.39535266021046,18.165557337932153,-2.000000019985805,-4.5325995131390755,0.0,1.0,ns
5,128,1.0,0.6677361869305813,0.6685331037710296,40.54068065512259,40.49203415027945,19.517643693923223,19.33358233115658,-1.9999999997612008,-4.852030263680831,2.3879920263425447e-10,0.9999876691082197,ns
6,176,1.0,0.4158163421032275,0.41304236241377057,205.9858213912981,206.4743011382752,44.63169959998996,44.8466058915655,-1.9999999934868526,-5.170483988525007,6.513165118349207e-9,0.9999356059686583,ns
7,191,0.9629,0.7220892262495064,0.7468494293794612,44.63822600329219,42.603344144569654,41.51668985484107,39.817786055098786,20.951494787149045,17.69922135910241,22.951494787149073,1.6635344810556063e-6,***
8,227,0.9643,0.9723698724365086,0.9783698631998917,2.7835412734868727,2.46283804254964,15.807297535658948,13.865104521509336,94.39191096422155,90.96696094674019,96.39191096422155,0.0,***
9,316,0.8002,0.46199479403331034,0.7540563589896621,15.453124333022616,10.448185122453522,60.509246304597696,38.913433998694934,279.1376220668349,275.38187985324805,281.1376220668349,0.0,***
10,542,0.9057,0.8713218014935289,0.9238759206565021,1.1300524372466425,0.8691748210529308,18.881406478079068,18.408919035937643,119.26143522391862,114.96616922247881,121.26143522391861,0.0,***
