wave,strain,T_days,peak_obs,peak_fit,peak_ratio,R0_prior,R0_fit,β_prior,β_fit,σ_fix,γ_fix,μ_prior,μ_fit,N_eff,N_eff_pct,loss
1,Wuhan-1 (D614G / ancestral),112,73.55555555555556,53.8,0.731,2.929,1.603,0.725,0.39669,0.1754,0.2475,0.0025,0.002213,6318,3.2,0.7257
2,Wuhan-1 (D614G / ancestral),24,33.27777777777778,30.2,0.908,2.929,1.069,0.725,0.2647,0.1754,0.2475,0.0025,0.001542,199989,100.0,0.4392
3,Alpha (UK / British),269,390.05555555555554,170.5,0.437,3.864,1.202,0.90458,0.2815,0.19184,0.23413,0.003054,0.001993,105640,52.8,1.284
4,Delta (Indian),93,135.66666666666666,121.1,0.893,4.986,1.249,1.24807,0.31252,0.21644,0.25031,0.003065,0.007566,47166,23.6,0.7941
5,Delta (Indian),128,290.1111111111111,229.8,0.792,5.4,1.172,1.48024,0.32121,0.23004,0.2741,0.002627,0.006394,142755,71.4,0.857
6,Omicron BA.2 (Stealth Omicron),176,933.6111111111111,349.5,0.374,10.773,1.213,3.58808,0.40384,0.29925,0.33305,0.000282,0.005614,95430,47.7,1.029
7,Omicron BA.4/BA.5 (Ninja),191,279.44444444444446,148.6,0.532,14.949,1.273,5.88272,0.5009,0.36053,0.39351,0.000232,0.002093,31307,15.7,0.6256
8,Omicron XBB.1.16 (Arcturus),227,53.72222222222222,49.1,0.914,17.284,1.235,6.91101,0.49381,0.4,0.39985,0.000149,0.00122,12191,6.1,0.1881
9,Omicron JN.1 (Pirola descendant),316,83.83333333333333,28.1,0.335,19.578,1.197,7.82911,0.47857,0.4,0.3999,9.7e-5,0.00216,10134,5.1,0.462
10,Omicron KP.3.1.1/XEC/LP.8.1,542,12.555555555555555,8.5,0.676,20.005,1.131,8.0,0.45212,0.4,0.3999,8.0e-5,0.000623,5435,2.7,6.599
