date,obs_cases,obs_deaths,fit_cases,fit_deaths,prior_cases,S,E,I,R,D
2020-04-15,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-04-16,5.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-04-17,10.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-04-18,2.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-04-19,8.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-04-20,6.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-04-21,4.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-04-22,4.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-04-23,6.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-04-24,21.0,2.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-04-25,17.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-04-26,14.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-04-27,4.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-04-28,14.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-04-29,7.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-04-30,4.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-05-01,24.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-05-02,18.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-05-03,1.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-05-04,18.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-05-05,12.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-05-06,17.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-05-07,27.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-05-08,7.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-05-09,16.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-05-10,15.0,3.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-05-11,20.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-05-12,11.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-05-13,12.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-05-14,16.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-05-15,19.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-05-16,19.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-05-17,19.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
