date,strain_id,strain_num,strain_name,pango_lineage,strain_dom_start,strain_dom_end,R0_min,R0_avg,R0_max,T_incub_avg_days,sigma_avg_per_day,T_infect_avg_days,gamma_avg_per_day,IFR_avg,mu_avg_per_day,beta_min_per_day,beta_avg_per_day,beta_max_per_day,T_gen_avg_days,severity,immune_escape,n_matching_strains,strain_match_type
2020-01-01,Wuhan_D614G,1,Wuhan-1 (D614G / ancestral),B / B.1 (D614G),2020-01-01,2020-12-17,2.2,2.9,3.5,5.7,0.1754,4.0,0.2475,0.01,0.0025,0.3667,0.725,1.1667,7.7,moderate,none,1,exact
2020-01-02,Wuhan_D614G,1,Wuhan-1 (D614G / ancestral),B / B.1 (D614G),2020-01-01,2020-12-17,2.2,2.9,3.5,5.7,0.1754,4.0,0.2475,0.01,0.0025,0.3667,0.725,1.1667,7.7,moderate,none,1,exact
2020-01-03,Wuhan_D614G,1,Wuhan-1 (D614G / ancestral),B / B.1 (D614G),2020-01-01,2020-12-17,2.2,2.9,3.5,5.7,0.1754,4.0,0.2475,0.01,0.0025,0.3667,0.725,1.1667,7.7,moderate,none,1,exact
2020-01-04,Wuhan_D614G,1,Wuhan-1 (D614G / ancestral),B / B.1 (D614G),2020-01-01,2020-12-17,2.2,2.9,3.5,5.7,0.1754,4.0,0.2475,0.01,0.0025,0.3667,0.725,1.1667,7.7,moderate,none,1,exact
2020-01-05,Wuhan_D614G,1,Wuhan-1 (D614G / ancestral),B / B.1 (D614G),2020-01-01,2020-12-17,2.2,2.9,3.5,5.7,0.1754,4.0,0.2475,0.01,0.0025,0.3667,0.725,1.1667,7.7,moderate,none,1,exact
2020-01-06,Wuhan_D614G,1,Wuhan-1 (D614G / ancestral),B / B.1 (D614G),2020-01-01,2020-12-17,2.2,2.9,3.5,5.7,0.1754,4.0,0.2475,0.01,0.0025,0.3667,0.725,1.1667,7.7,moderate,none,1,exact
2020-01-07,Wuhan_D614G,1,Wuhan-1 (D614G / ancestral),B / B.1 (D614G),2020-01-01,2020-12-17,2.2,2.9,3.5,5.7,0.1754,4.0,0.2475,0.01,0.0025,0.3667,0.725,1.1667,7.7,moderate,none,1,exact
2020-01-08,Wuhan_D614G,1,Wuhan-1 (D614G / ancestral),B / B.1 (D614G),2020-01-01,2020-12-17,2.2,2.9,3.5,5.7,0.1754,4.0,0.2475,0.01,0.0025,0.3667,0.725,1.1667,7.7,moderate,none,1,exact
2020-01-09,Wuhan_D614G,1,Wuhan-1 (D614G / ancestral),B / B.1 (D614G),2020-01-01,2020-12-17,2.2,2.9,3.5,5.7,0.1754,4.0,0.2475,0.01,0.0025,0.3667,0.725,1.1667,7.7,moderate,none,1,exact
2020-01-10,Wuhan_D614G,1,Wuhan-1 (D614G / ancestral),B / B.1 (D614G),2020-01-01,2020-12-17,2.2,2.9,3.5,5.7,0.1754,4.0,0.2475,0.01,0.0025,0.3667,0.725,1.1667,7.7,moderate,none,1,exact
2020-01-11,Wuhan_D614G,1,Wuhan-1 (D614G / ancestral),B / B.1 (D614G),2020-01-01,2020-12-17,2.2,2.9,3.5,5.7,0.1754,4.0,0.2475,0.01,0.0025,0.3667,0.725,1.1667,7.7,moderate,none,1,exact
2020-01-12,Wuhan_D614G,1,Wuhan-1 (D614G / ancestral),B / B.1 (D614G),2020-01-01,2020-12-17,2.2,2.9,3.5,5.7,0.1754,4.0,0.2475,0.01,0.0025,0.3667,0.725,1.1667,7.7,moderate,none,1,exact
2020-01-13,Wuhan_D614G,1,Wuhan-1 (D614G / ancestral),B / B.1 (D614G),2020-01-01,2020-12-17,2.2,2.9,3.5,5.7,0.1754,4.0,0.2475,0.01,0.0025,0.3667,0.725,1.1667,7.7,moderate,none,1,exact
2020-01-14,Wuhan_D614G,1,Wuhan-1 (D614G / ancestral),B / B.1 (D614G),2020-01-01,2020-12-17,2.2,2.9,3.5,5.7,0.1754,4.0,0.2475,0.01,0.0025,0.3667,0.725,1.1667,7.7,moderate,none,1,exact
2020-01-15,Wuhan_D614G,1,Wuhan-1 (D614G / ancestral),B / B.1 (D614G),2020-01-01,2020-12-17,2.2,2.9,3.5,5.7,0.1754,4.0,0.2475,0.01,0.0025,0.3667,0.725,1.1667,7.7,moderate,none,1,exact
2020-01-16,Wuhan_D614G,1,Wuhan-1 (D614G / ancestral),B / B.1 (D614G),2020-01-01,2020-12-17,2.2,2.9,3.5,5.7,0.1754,4.0,0.2475,0.01,0.0025,0.3667,0.725,1.1667,7.7,moderate,none,1,exact
2020-01-17,Wuhan_D614G,1,Wuhan-1 (D614G / ancestral),B / B.1 (D614G),2020-01-01,2020-12-17,2.2,2.9,3.5,5.7,0.1754,4.0,0.2475,0.01,0.0025,0.3667,0.725,1.1667,7.7,moderate,none,1,exact
2020-01-18,Wuhan_D614G,1,Wuhan-1 (D614G / ancestral),B / B.1 (D614G),2020-01-01,2020-12-17,2.2,2.9,3.5,5.7,0.1754,4.0,0.2475,0.01,0.0025,0.3667,0.725,1.1667,7.7,moderate,none,1,exact
2020-01-19,Wuhan_D614G,1,Wuhan-1 (D614G / ancestral),B / B.1 (D614G),2020-01-01,2020-12-17,2.2,2.9,3.5,5.7,0.1754,4.0,0.2475,0.01,0.0025,0.3667,0.725,1.1667,7.7,moderate,none,1,exact
